k,mu,c,n,D1,D2,D3,D4,multiplicity_test
156,78,78,777,4839,23213745,36510763095,96160583131785,nonconstant_conjugate_multiplicity
156,78,93,727,4889,23700145,39266027945,58217538030685,nonconstant_conjugate_multiplicity
156,93,105,573,5043,25229673,33020721819,10854549576981,nonconstant_conjugate_multiplicity
157,39,59,2042,3610,12828628,17846988040,11642271685264,nonconstant_conjugate_multiplicity
157,52,63,1414,4238,17757172,30700156760,81763648981840,nonconstant_conjugate_multiplicity
157,78,79,786,4866,23474484,37491342696,97839049830480,noninteger_multiplicity
158,79,79,787,4901,23815033,37937391245,101201106437437,nonconstant_conjugate_multiplicity
159,53,53,1582,4142,16950100,25255414232,77570128765456,nonconstant_conjugate_multiplicity
159,53,79,1270,4454,19632052,39103215992,73722136816720,nonconstant_conjugate_multiplicity
159,53,106,1108,4616,21101392,47307943808,1361593699840,nonconstant_conjugate_multiplicity
159,79,80,796,4928,24079120,38943263744,102945192890368,noninteger_multiplicity
159,79,96,743,4981,24604297,41978000125,59405065661965,nonconstant_conjugate_multiplicity
159,79,106,718,5006,24853972,43438563800,27187089515440,nonconstant_conjugate_multiplicity
160,40,53,2237,3523,12204169,13956748507,2337425006485,nonconstant_conjugate_multiplicity
160,40,60,2069,3691,13416121,19095613651,14037610854241,nonconstant_conjugate_multiplicity
160,40,72,1857,3903,15026049,26475957567,18958213841697,nonconstant_conjugate_multiplicity
160,40,80,1751,4009,15864721,30557243449,13126337326561,nonconstant_conjugate_multiplicity
160,48,53,1811,3949,15387241,21704371381,50940894444685,nonconstant_conjugate_multiplicity
160,48,56,1751,4009,15864721,23948358841,56715051069121,nonconstant_conjugate_multiplicity
160,48,70,1539,4221,17609481,32579404389,64151339118489,nonconstant_conjugate_multiplicity
160,48,80,1433,4327,18515569,37318198519,53946507007393,nonconstant_conjugate_multiplicity
160,53,60,1497,4263,17965809,30030349671,86647359524193,nonconstant_conjugate_multiplicity
160,53,80,1283,4477,19836169,39911456629,73570888214113,nonconstant_conjugate_multiplicity
160,53,96,1176,4584,20805696,45309649536,35116788335616,nonconstant_conjugate_multiplicity
160,60,80,1115,4645,21368665,41827412125,93200957520625,nonconstant_conjugate_multiplicity
160,60,100,1009,4751,22364641,47513805551,38522162802961,nonconstant_conjugate_multiplicity
160,60,106,985,4775,22593265,48845504375,17815706631625,nonconstant_conjugate_multiplicity
160,80,80,797,4963,24424009,39400706107,106437237747601,nonconstant_conjugate_multiplicity
160,80,96,744,5016,24952896,42474364416,62549186826240,nonconstant_conjugate_multiplicity
160,80,106,719,5041,25204321,43953492241,30017639167705,nonconstant_conjugate_multiplicity
160,96,106,586,5174,26562916,35083714328,16183021088080,nonconstant_conjugate_multiplicity
161,40,77,1818,3978,15615828,29124640584,15372233728272,nonconstant_conjugate_multiplicity
161,46,46,2122,3674,13289620,13781394440,16576307773360,nonconstant_conjugate_multiplicity
161,46,50,2010,3786,14125140,17364791880,29872267130160,nonconstant_conjugate_multiplicity
161,46,56,1872,3924,15189120,22172797440,44047190568960,nonconstant_conjugate_multiplicity
161,46,70,1642,4154,17047060,31190309000,53895428302000,nonconstant_conjugate_multiplicity
161,46,80,1527,4269,18015705,36188932005,45212622599925,nonconstant_conjugate_multiplicity
161,46,92,1422,4374,18923220,41048502840,22041495267120,nonconstant_conjugate_multiplicity
161,46,100,1366,4430,19416244,43758140120,561735859120,nonconstant_conjugate_multiplicity
161,56,60,1427,4369,18879505,31751030305,100019615167525,nonconstant_conjugate_multiplicity
161,56,69,1322,4474,19808020,36668277640,99511409754640,nonconstant_conjugate_multiplicity
161,56,70,1312,4484,19897600,37151912960,98762266009600,nonconstant_conjugate_multiplicity
161,56,75,1266,4530,20312244,39411380520,93244425581520,nonconstant_conjugate_multiplicity
161,56,84,1197,4599,20942145,42908601015,76895502387165,nonconstant_conjugate_multiplicity
161,56,92,1147,4649,21404545,45524797865,56757178679845,nonconstant_conjugate_multiplicity
161,56,100,1105,4691,21796825,47776263515,32423932227805,nonconstant_conjugate_multiplicity
161,56,105,1082,4714,22013140,49030219720,15440829139600,nonconstant_conjugate_multiplicity
161,70,91,898,4898,23781748,45387552104,81454956383824,nonconstant_conjugate_multiplicity
161,70,92,894,4902,23820948,45616776696,78465558930480,nonconstant_conjugate_multiplicity
161,70,104,852,4944,24234480,48052120320,38928399897600,nonconstant_conjugate_multiplicity
161,70,112,829,4967,24462433,49407906311,9444449571085,nonconstant_conjugate_multiplicity
161,80,81,806,4990,24691444,40432193560,108248632264336,noninteger_multiplicity
161,92,92,652,5144,26252080,36907994240,65558107886080,nonconstant_conjugate_multiplicity
161,92,105,626,5170,26520244,38480951080,27511753018000,nonconstant_conjugate_multiplicity
162,42,54,2164,3668,13244272,16435280960,12958527136000,nonconstant_conjugate_multiplicity
162,42,60,2026,3806,14275684,20979174392,23673003562576,nonconstant_conjugate_multiplicity
162,42,69,1864,3968,15535072,26869391360,29871473766400,nonconstant_conjugate_multiplicity
162,42,72,1819,4013,15894217,28615358645,29572655047705,nonconstant_conjugate_multiplicity
162,42,81,1704,4128,16830432,33300080640,22550796472320,nonconstant_conjugate_multiplicity
162,42,90,1612,4220,17598448,37283261120,7651617783040,nonconstant_conjugate_multiplicity
162,42,92,1594,4238,17750692,38087499320,3421259379280,nonconstant_conjugate_multiplicity
162,46,54,1948,3884,14875504,20497141952,38542303706368,nonconstant_conjugate_multiplicity
162,46,58,1864,3968,15535072,23557603328,46218362982400,nonconstant_conjugate_multiplicity
162,46,63,1774,4058,16257412,27023179688,51993995284720,nonconstant_conjugate_multiplicity
162,46,81,1542,4290,18194148,36876719880,44179573323312,nonconstant_conjugate_multiplicity
162,46,84,1513,4319,18443809,38204288927,39369415717513,nonconstant_conjugate_multiplicity
162,46,87,1486,4346,18677764,39459889448,33743572453360,nonconstant_conjugate_multiplicity
162,54,54,1612,4220,17598448,26716921280,83606940976384,nonconstant_conjugate_multiplicity
162,54,63,1474,4358,18782212,32749446104,93819867135280,nonconstant_conjugate_multiplicity
162,54,69,1402,4430,19414948,36093531320,93229957132144,nonconstant_conjugate_multiplicity
162,54,81,1290,4542,20419812,41570146296,78522411148272,nonconstant_conjugate_multiplicity
162,54,84,1267,4565,20629273,42736840685,72553927376329,nonconstant_conjugate_multiplicity
162,54,92,1213,4619,21125209,45533108915,53030365239481,nonconstant_conjugate_multiplicity
162,54,108,1129,4703,21908257,50043837599,1464257616745,nonconstant_conjugate_multiplicity
162,63,66,1198,4634,21264004,37621944584,124296584916304,nonconstant_conjugate_multiplicity
162,63,69,1171,4661,21514969,39010896701,121966767480565,nonconstant_conjugate_multiplicity
162,63,81,1083,4749,22343049,43679977029,102604116656709,nonconstant_conjugate_multiplicity
162,63,99,991,4841,23225329,48797284841,51889539345085,nonconstant_conjugate_multiplicity
162,69,81,975,4857,23380497,43631562681,110889768783717,nonconstant_conjugate_multiplicity
162,69,93,919,4913,23927617,46822624289,78139804440565,nonconstant_conjugate_multiplicity
162,81,81,807,5025,25040673,40901173425,111873973371237,nonconstant_conjugate_multiplicity
163,81,82,816,5052,25311456,41958597888,113754385704960,noninteger_multiplicity
164,41,82,1795,4109,16671337,32913784421,14485583740009,nonconstant_conjugate_multiplicity
164,82,82,817,5087,25665025,42439258943,117516372625177,nonconstant_conjugate_multiplicity
165,41,55,2314,3626,12934036,15300748232,1751153414032,nonconstant_conjugate_multiplicity
165,41,60,2190,3750,13848660,19253835000,11449274151600,nonconstant_conjugate_multiplicity
165,41,62,2146,3794,14180596,20739111848,14294350109488,nonconstant_conjugate_multiplicity
165,41,66,2066,3874,14794036,23552881768,18273924341680,nonconstant_conjugate_multiplicity
165,41,80,1849,4091,16522441,31943088467,16007236950397,nonconstant_conjugate_multiplicity
165,41,88,1756,4184,17292016,35889147008,5102046332416,nonconstant_conjugate_multiplicity
165,44,55,2134,3806,14271796,18724987160,22325722400080,nonconstant_conjugate_multiplicity
165,55,55,1642,4298,18258964,28233751112,89989431751696,nonconstant_conjugate_multiplicity
165,55,60,1560,4380,18970560,31889203200,97949316096000,nonconstant_conjugate_multiplicity
165,55,66,1478,4462,19695604,35721362008,101384501264368,nonconstant_conjugate_multiplicity
165,55,82,1318,4622,21149044,43720071128,85479108847600,nonconstant_conjugate_multiplicity
165,55,88,1273,4667,21567049,46096561043,72347649120157,nonconstant_conjugate_multiplicity
165,55,110,1150,4790,22730260,52883228600,1572612406000,nonconstant_conjugate_multiplicity
165,60,77,1232,4708,21951424,43307875072,111082291167232,nonconstant_conjugate_multiplicity
165,60,105,1068,4872,23522544,52470972288,32876359439616,nonconstant_conjugate_multiplicity
165,66,66,1191,4749,22339161,39470159493,138945990811005,nonconstant_conjugate_multiplicity
165,66,82,1071,4869,23493321,46087115373,114934926763773,nonconstant_conjugate_multiplicity
165,66,90,1027,4913,23923729,48618188225,93874355651485,nonconstant_conjugate_multiplicity
165,66,99,986,4954,24328276,51028042888,65015457102544,nonconstant_conjugate_multiplicity
165,66,110,945,4995,24736185,53487863595,23965185748725,nonconstant_conjugate_multiplicity
165,82,83,826,5114,25939156,43522942472,119467533972688,noninteger_multiplicity
165,82,110,745,5195,26774185,48550272515,31543196766325,nonconstant_conjugate_multiplicity
166,55,74,1412,4564,20614960,40408560640,98804482854400,nonconstant_conjugate_multiplicity
166,55,83,1331,4645,21360889,44590555405,85309669423693,nonconstant_conjugate_multiplicity
166,66,83,1082,4894,23736100,47093298040,115864894671280,nonconstant_conjugate_multiplicity
166,66,100,997,4979,24575305,52089625835,64623245216425,nonconstant_conjugate_multiplicity
166,83,83,827,5149,26297065,44015428405,123369557834125,nonconstant_conjugate_multiplicity
166,83,110,746,5230,27137764,49104700120,34705607294800,nonconstant_conjugate_multiplicity
167,83,84,836,5176,26574544,45125693056,125393220835840,noninteger_multiplicity
168,42,56,2340,3708,13531536,16468681536,3727435739904,nonconstant_conjugate_multiplicity
168,42,63,2173,3875,14797897,22117542875,17074235231869,nonconstant_conjugate_multiplicity
168,42,72,2006,4042,16120036,28414823464,23526053629840,nonconstant_conjugate_multiplicity
168,42,84,1839,4209,17497953,35388468081,15947748050481,nonconstant_conjugate_multiplicity
168,56,56,1672,4376,18931648,29806931456,96730551734272,nonconstant_conjugate_multiplicity
168,56,84,1338,4710,21966372,46375507800,90837299727504,nonconstant_conjugate_multiplicity
168,56,112,1171,4877,23567401,55828038293,1686864279025,nonconstant_conjugate_multiplicity
